#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0521800.1-p1   -           1610 2703at5820           -            688         0 1032.7  21.9   1   6   2.4e-41   2.7e-39  133.3   1.0     2    97    33   132    32   138 0.95 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 2703at5820           -            688   5.4e-09   33.1   0.6   3   4       1.2   1.3e+02   -1.2   0.1   239   279  1969  2007  1959  2016 0.80 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 2703at5820           -            688   5.4e-09   33.1   0.6   4   4   4.8e-11   5.4e-09   33.1   0.6   363   446  2056  2135  2017  2162 0.85 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 2703at5820           -            688   1.1e-08   32.0   0.3   1   2     0.024       2.7    4.3   0.0   217   242    13    38     1    46 0.78 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 2703at5820           -            688   1.1e-08   32.0   0.3   2   2   8.3e-09   9.3e-07   25.7   0.1   351   402   104   161    90   181 0.80 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 2703at5820           -            688   2.4e-08   31.0   0.8   1   3   4.9e-06   0.00055   16.6   0.4   339   380   302   343   289   347 0.90 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 2703at5820           -            688   2.4e-08   31.0   0.8   2   3     0.086       9.7    2.5   0.0   413   443   424   453   383   463 0.69 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 2703at5820           -            688   2.4e-08   31.0   0.8   3   3    0.0019      0.21    8.0   0.0   519   547   485   513   478   517 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 2703at5820           -            688   3.6e-08   30.4   0.0   1   3      0.93     1e+02   -0.9   0.2   213   246   548   581   532   618 0.64 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 2703at5820           -            688   3.6e-08   30.4   0.0   2   3   0.00045     0.051   10.1   0.1   340   382   641   683   635   689 0.92 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 2703at5820           -            688   3.6e-08   30.4   0.0   3   3   3.2e-10   3.6e-08   30.4   0.0   386   459   712   780   698   871 0.83 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 2703at5820           -            688   8.2e-08   29.2   0.0   1   3      0.31        35    0.7   0.0   199   274    18    94     9   106 0.72 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 2703at5820           -            688   8.2e-08   29.2   0.0   2   3   1.3e-08   1.5e-06   25.1   0.0   346   455   129   246    96   259 0.78 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 2703at5820           -            688   8.2e-08   29.2   0.0   3   3       1.3   1.5e+02   -1.4   0.0   519   545   282   308   280   318 0.85 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 2703at5820           -            688   1.3e-07   28.6   0.1   1   2      0.14        16    1.8   0.0   248   282  2989  3024  2959  3062 0.77 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 2703at5820           -            688   1.3e-07   28.6   0.1   2   2   1.1e-09   1.3e-07   28.6   0.1   363   443  3078  3169  3056  3176 0.73 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 2703at5820           -            688   1.3e-07   28.6   0.1   1   2   1.2e-09   1.3e-07   28.6   0.1   343   445   343   446   326   461 0.74 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 2703at5820           -            688   1.3e-07   28.6   0.1   2   2       4.8   5.4e+02   -3.2   0.1    64    98   470   504   468   531 0.86 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 2703at5820           -            688   2.2e-07   27.8   5.1   1   3   3.5e-07   3.9e-05   20.3   0.5   349   381   378   410   361   415 0.90 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 2703at5820           -            688   2.2e-07   27.8   5.1   2   3     0.027         3    4.2   0.1   409   445   543   578   530   604 0.78 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 2703at5820           -            688   2.2e-07   27.8   5.1   3   3     0.058       6.6    3.1   0.0   517   546   618   648   614   657 0.83 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2703at5820           -            688   3.7e-07   27.0   0.0   1   2       2.9   3.2e+02   -2.5   0.0   245   279   801   834   771   837 0.81 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2703at5820           -            688   3.7e-07   27.0   0.0   2   2   1.3e-08   1.4e-06   25.1   0.0   362   444   879   959   862   966 0.88 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 2703at5820           -            688   6.2e-07   26.3   0.4   1   2       2.8   3.1e+02   -2.5   2.2    22    97   715   801   706   805 0.53 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 2703at5820           -            688   6.2e-07   26.3   0.4   2   2   5.5e-09   6.2e-07   26.3   0.4   348   395   831   880   819   887 0.86 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 2703at5820           -            688   6.3e-07   26.3   0.0   1   2   1.8e-06   0.00021   18.0   0.0   344   452   268   385   243   398 0.84 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 2703at5820           -            688   6.3e-07   26.3   0.0   2   2    0.0081      0.91    5.9   0.0   514   550   413   449   388   454 0.84 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 2703at5820           -            688   7.9e-07   26.0   0.0   1   3      0.09        10    2.5   0.2   211   272    75   140    64   152 0.74 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 2703at5820           -            688   7.9e-07   26.0   0.0   2   3     7e-09   7.9e-07   26.0   0.0   348   436   176   263   154   275 0.88 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 2703at5820           -            688   7.9e-07   26.0   0.0   3   3    0.0081      0.91    5.9   0.1   519   545   314   340   310   351 0.90 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 2703at5820           -            688   3.7e-06   23.8   0.3   1   4         3   3.3e+02   -2.5  10.2   645   678   790   823   770   834 0.51 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 2703at5820           -            688   3.7e-06   23.8   0.3   2   4   3.3e-08   3.7e-06   23.8   0.3   345   381  1214  1250  1210  1258 0.92 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 2703at5820           -            688   3.7e-06   23.8   0.3   3   4      0.32        36    0.7   0.0   413   453  1522  1560  1505  1574 0.77 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 2703at5820           -            688   3.7e-06   23.8   0.3   4   4       3.8   4.3e+02   -2.9   0.0   518   544  1590  1617  1589  1619 0.87 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0008370.1-p1   -            462 2703at5820           -            688      0.32    7.4   9.9   1   1     0.004      0.45    6.9   9.9   622   678   213   275   127   283 0.45 | transcript=PVP01_0008370.1 | gene=PVP01_0008370 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_37.final:1694-3335(-) | protein_length=462 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1427300.1-p1   -            661 2703at5820           -            688      0.44    7.0  29.0   1   1    0.0081      0.91    5.9  29.0   587   688    89   194    39   194 0.68 | transcript=PVP01_1427300.1 | gene=PVP01_1427300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC7, putative | transcript_product=protein KIC7, putative | location=PvP01_14_v2:1167514-1169499(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 2703at5820           -            688      0.87    6.0  14.2   1   1    0.0093         1    5.7  14.2   587   674    38   124    28   133 0.49 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2703at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2703at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2703at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
