#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0922500.1-p1   -            561 7185at5820           -            435  1.7e-235  780.2  57.5   1   2  7.8e-128  9.6e-126  418.5  21.7     1   224     1   235     1   255 0.92 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 7185at5820           -            435   5.2e-05   20.6   0.7   2   2   0.00046     0.057   10.6   0.0   220   321   453   562   418   567 0.61 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7185at5820           -            435   6.7e-05   20.3  11.1   1   3      0.89   1.1e+02   -0.2   0.1    74   121    72   121    52   131 0.71 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7185at5820           -            435   6.7e-05   20.3  11.1   2   3   9.6e-05     0.012   12.9   0.5   129   168   233   274   221   302 0.82 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7185at5820           -            435   6.7e-05   20.3  11.1   3   3    0.0058      0.71    7.0   1.3   231   279   585   634   557   727 0.53 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 7185at5820           -            435   0.00013   19.4   0.2   1   1   1.7e-06    0.0002   18.7   0.2    54   166   193   306   174   319 0.80 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 7185at5820           -            435   0.00026   18.3   0.0   1   2      0.22        27    1.8   0.0   167   211   363   406   359   433 0.87 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 7185at5820           -            435   0.00026   18.3   0.0   2   2   4.5e-05    0.0055   14.0   0.0   117   178   518   579   513   601 0.84 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 7185at5820           -            435     0.024   11.9   0.0   1   1   0.00044     0.054   10.7   0.0   134   176   907   950   898   956 0.84 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 7185at5820           -            435         1    6.5  10.8   1   3   0.00056     0.069   10.4   0.0   128   178   153   203   147   207 0.92 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 7185at5820           -            435         1    6.5  10.8   2   3      0.62        76    0.3   0.0   257   280   307   330   271   333 0.67 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 7185at5820           -            435         1    6.5  10.8   3   3      0.41        51    0.9   0.2   182   223  1318  1359  1310  1395 0.70 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7185at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:31 2026
# [ok]
