#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0507600.1-p1   -            322 7934at5820           -            173  5.6e-121  399.3  12.4   1   2  1.4e-117    2e-115  381.2   8.0     1   173    26   205    26   205 0.98 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129000.1-p1   -            539 7934at5820           -            173   0.00015   20.2   3.7   2   2   5.7e-06   0.00081   17.8   0.4    35   113   342   422   318   438 0.84 | transcript=PVP01_1129000.1 | gene=PVP01_1129000 | organism=Plasmodium_vivax_P01 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=PvP01_11_v2:1251595-1253214(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 7934at5820           -            173   0.00087   17.7   0.4   1   2   3.1e-05    0.0044   15.4   0.1    78   157    68   157    45   163 0.74 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 7934at5820           -            173   0.00087   17.7   0.4   2   2       3.9   5.6e+02   -1.2   0.0    24    75   245   296   229   322 0.62 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 7934at5820           -            173     0.002   16.5   5.0   1   3      0.12        17    3.8   0.1    86   157    68   139    52   156 0.73 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 7934at5820           -            173     0.002   16.5   5.0   2   3       1.1   1.6e+02    0.6   0.1   131   157   271   297   229   315 0.69 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 7934at5820           -            173     0.002   16.5   5.0   3   3   0.00033     0.047   12.1   0.1    58   113   434   488   388   502 0.87 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720500.1-p1   -            846 7934at5820           -            173    0.0021   16.5   2.3   1   2       1.4     2e+02    0.3   0.0   119   143   645   669   589   679 0.67 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720500.1-p1   -            846 7934at5820           -            173    0.0021   16.5   2.3   2   2   6.7e-05    0.0096   14.3   0.3    75   162   685   774   665   781 0.73 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 7934at5820           -            173    0.0031   15.9   0.0   1   1   5.9e-05    0.0084   14.5   0.0    82   123  2844  2885  2800  2900 0.69 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803900.1-p1   -           2716 7934at5820           -            173    0.0037   15.7   0.2   1   2       0.5        70    1.8   0.0    58   107   236   285   221   302 0.81 | transcript=PVP01_0803900.1 | gene=PVP01_0803900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:186374-194691(-) | protein_length=2716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803900.1-p1   -           2716 7934at5820           -            173    0.0037   15.7   0.2   2   2    0.0014      0.19   10.1   0.0    57   114  2598  2656  2593  2666 0.90 | transcript=PVP01_0803900.1 | gene=PVP01_0803900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:186374-194691(-) | protein_length=2716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 7934at5820           -            173     0.015   13.7   0.2   1   1    0.0002     0.028   12.8   0.2    57   113   207   265   182   300 0.81 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 7934at5820           -            173     0.019   13.3   1.1   1   1   0.00047     0.067   11.6   0.2    37    96  1725  1783  1709  1803 0.64 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7934at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7934at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7934at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:20 2026
# [ok]
