#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511500.1-p1   -            324 8053at5820           -            274  6.5e-157  519.5   9.9   1   1  1.4e-158  2.3e-156  517.7   9.9     1   274    21   324    21   324 0.94 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 8053at5820           -            274   0.00042   18.3   3.3   2   3   3.6e-05    0.0059   14.6   0.1    90   127   207   245   195   266 0.80 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 8053at5820           -            274   0.00042   18.3   3.3   3   3      0.15        25    2.7   0.1    42    81   350   390   293   401 0.71 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 8053at5820           -            274   0.00063   17.8   3.0   1   2   5.4e-05    0.0088   14.0   0.1    64   128   314   378   289   390 0.80 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 8053at5820           -            274   0.00063   17.8   3.0   2   2      0.07        11    3.8   0.0   228   261   413   446   385   457 0.73 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 8053at5820           -            274   0.00081   17.4   3.2   1   4   2.7e-05    0.0044   15.0   0.0   197   270    66   139    63   143 0.79 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 8053at5820           -            274   0.00081   17.4   3.2   2   4      0.98   1.6e+02    0.0   0.0    24    48   170   194   150   221 0.75 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 8053at5820           -            274   0.00081   17.4   3.2   3   4       2.3   3.7e+02   -1.2   0.0    10    54   239   281   230   327 0.72 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 8053at5820           -            274   0.00081   17.4   3.2   4   4       7.9   1.3e+03   -2.9   0.0    85   101   343   359   322   365 0.81 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 8053at5820           -            274   0.00083   17.4  13.8   1   1    0.0005     0.082   10.8  13.8    56   267   367   566   363   572 0.71 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 8053at5820           -            274    0.0026   15.7   9.0   1   3     0.007       1.1    7.1   1.6    82   242   213   389   192   396 0.63 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 8053at5820           -            274    0.0026   15.7   9.0   2   3    0.0018       0.3    9.0   0.1   102   128   395   421   390   451 0.79 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 8053at5820           -            274    0.0026   15.7   9.0   3   3     0.078        13    3.6   0.1    13    81   438   507   423   510 0.71 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107300.1-p1   -            382 8053at5820           -            274    0.0035   15.3   0.9   1   2   2.1e-05    0.0035   15.3   0.9    48   133    15   100     2   110 0.88 | transcript=PVP01_1107300.1 | gene=PVP01_1107300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:279326-280474(-) | protein_length=382 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107300.1-p1   -            382 8053at5820           -            274    0.0035   15.3   0.9   2   2       1.1   1.8e+02   -0.1   1.3    60   126   250   319   208   339 0.61 | transcript=PVP01_1107300.1 | gene=PVP01_1107300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:279326-280474(-) | protein_length=382 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 8053at5820           -            274    0.0057   14.6   0.5   1   2     0.027       4.4    5.2   0.1    81   126   100   146    61   152 0.83 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 8053at5820           -            274    0.0057   14.6   0.5   2   2    0.0057      0.94    7.4   0.0    51    93   308   350   288   361 0.56 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8053at5820           -            274     0.012   13.5   4.6   1   2   0.00019     0.031   12.2   2.5    81   144    93   160    82   294 0.68 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8053at5820           -            274     0.012   13.5   4.6   2   2      0.85   1.4e+02    0.2   0.2    62    88   223   249   184   359 0.54 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8053at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8053at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8053at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:49 2026
# [ok]
