#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720745.1         -            660 4853at5820           -            513  1.9e-304 1008.1  28.4   1   2  1.2e-137    2e-135  450.5   5.1     5   230    10   241     2   258 0.93 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720471.1         -            408 4853at5820           -            513   0.00047   17.1   1.1   3   3         3   5.3e+02   -2.9   0.0   328   399   319   393   274   397 0.58 | transcript=PVPAM_090023600_t1 | gene=PVPAM_090023600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=CASCJQ010000009:861008-863035(-) | protein_length=408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 4853at5820           -            513    0.0014   15.5   1.6   1   2      0.82   1.4e+02   -1.0   0.0   127   185   441   507   428   536 0.45 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 4853at5820           -            513    0.0014   15.5   1.6   2   2   1.5e-05    0.0026   14.6   0.4   361   512   541   695   522   696 0.81 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721872.1         -            720 4853at5820           -            513      0.39    7.5  45.5   1   4       1.1   1.9e+02   -1.4   5.1   194   240    22    70     8   136 0.77 | transcript=PVPAM_120010600_t1 | gene=PVPAM_120010600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=CASCJQ010000012:222850-226224(+) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721872.1         -            720 4853at5820           -            513      0.39    7.5  45.5   2   4      0.33        58    0.3   0.0   121   192   161   233   136   253 0.68 | transcript=PVPAM_120010600_t1 | gene=PVPAM_120010600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=CASCJQ010000012:222850-226224(+) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721872.1         -            720 4853at5820           -            513      0.39    7.5  45.5   3   4    0.0056      0.98    6.2   4.0   337   461   277   398   270   420 0.77 | transcript=PVPAM_120010600_t1 | gene=PVPAM_120010600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=CASCJQ010000012:222850-226224(+) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721872.1         -            720 4853at5820           -            513      0.39    7.5  45.5   4   4   0.00013     0.024   11.5  25.0   126   463   339   706   338   718 0.69 | transcript=PVPAM_120010600_t1 | gene=PVPAM_120010600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=CASCJQ010000012:222850-226224(+) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 4853at5820           -            513       1.6    5.5   7.9   1   1   0.00018     0.032   11.1   0.1   415   473   336   392   321   413 0.77 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4853at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4853at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4853at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:21 2026
# [ok]
