#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718796.1         -            324 8053at5820           -            274  6.4e-157  519.5   9.9   1   1  1.4e-158  2.3e-156  517.7   9.9     1   274    21   324    21   324 0.94 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723626.1         -           3000 8053at5820           -            274   0.00026   19.0   4.4   3   3       4.6   7.3e+02   -2.1   0.1   109   126   416   433   413   441 0.88 | transcript=PVPAM_140055000_t1 | gene=PVPAM_140055000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2149347-2158349(-) | protein_length=3000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 8053at5820           -            274   0.00043   18.3   3.3   1   3       2.9   4.5e+02   -1.5   0.0   110   127   123   140   103   144 0.79 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 8053at5820           -            274   0.00043   18.3   3.3   2   3   3.7e-05    0.0059   14.6   0.1    90   127   211   249   199   270 0.80 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 8053at5820           -            274   0.00043   18.3   3.3   3   3      0.16        25    2.7   0.1    42    81   354   394   297   405 0.71 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 8053at5820           -            274   0.00064   17.7   3.0   1   2   5.6e-05    0.0088   14.0   0.1    64   128   319   383   294   395 0.80 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 8053at5820           -            274   0.00064   17.7   3.0   2   2     0.073        11    3.8   0.1   228   261   418   451   390   462 0.73 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721838.1         -            466 8053at5820           -            274   0.00081   17.4   3.2   1   4   2.7e-05    0.0043   15.0   0.0   197   270    66   139    63   143 0.79 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721838.1         -            466 8053at5820           -            274   0.00081   17.4   3.2   2   4         1   1.6e+02    0.0   0.0    24    48   170   194   150   221 0.75 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721838.1         -            466 8053at5820           -            274   0.00081   17.4   3.2   3   4       2.3   3.6e+02   -1.2   0.0    10    54   239   281   230   327 0.72 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721838.1         -            466 8053at5820           -            274   0.00081   17.4   3.2   4   4       8.1   1.3e+03   -2.9   0.0    85   101   343   359   322   365 0.81 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 8053at5820           -            274   0.00082   17.4  13.8   1   1   0.00052     0.081   10.8  13.8    56   267   367   566   363   572 0.71 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 8053at5820           -            274    0.0026   15.7   9.0   1   3    0.0072       1.1    7.1   1.6    82   242   213   389   192   396 0.63 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 8053at5820           -            274    0.0026   15.7   9.0   2   3    0.0019       0.3    9.0   0.1   102   128   395   421   390   451 0.79 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 8053at5820           -            274    0.0026   15.7   9.0   3   3      0.08        13    3.6   0.1    13    81   438   507   423   510 0.71 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721210.1         -            382 8053at5820           -            274    0.0035   15.3   0.9   1   2   2.2e-05    0.0035   15.3   0.9    48   133    15   100     2   110 0.88 | transcript=PVPAM_110011200_t1 | gene=PVPAM_110011200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000011:230207-231355(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721210.1         -            382 8053at5820           -            274    0.0035   15.3   0.9   2   2       1.1   1.8e+02   -0.1   1.3    60   126   250   319   208   339 0.61 | transcript=PVPAM_110011200_t1 | gene=PVPAM_110011200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000011:230207-231355(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 8053at5820           -            274    0.0056   14.6   0.5   1   2     0.028       4.3    5.2   0.1    81   126   100   146    61   152 0.83 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 8053at5820           -            274    0.0056   14.6   0.5   2   2    0.0059      0.93    7.4   0.0    51    93   308   350   288   361 0.56 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 8053at5820           -            274     0.012   13.5   4.6   1   2   0.00019      0.03   12.2   2.5    81   144    93   160    82   294 0.68 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 8053at5820           -            274     0.012   13.5   4.6   2   2      0.87   1.4e+02    0.2   0.2    62    88   223   249   184   359 0.54 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8053at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8053at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8053at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:49 2026
# [ok]
