#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720502.1         -            561 7185at5820           -            435  2.5e-235  779.6  58.4   1   2  8.1e-128    1e-125  418.4  21.8     1   224     1   235     1   255 0.92 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 7185at5820           -            435   0.00026   18.3   0.0   1   2      0.22        27    1.8   0.0   167   211   363   406   359   433 0.87 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 7185at5820           -            435   0.00026   18.3   0.0   2   2   4.4e-05    0.0055   13.9   0.0   117   178   518   579   513   601 0.84 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 7185at5820           -            435     0.024   11.9   0.0   1   1   0.00042     0.053   10.7   0.0   134   176   910   953   901   959 0.84 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 7185at5820           -            435         1    6.5  10.8   1   3   0.00054     0.068   10.4   0.0   128   178   153   203   147   207 0.92 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 7185at5820           -            435         1    6.5  10.8   2   3       0.6        76    0.3   0.0   257   280   307   330   271   333 0.67 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 7185at5820           -            435         1    6.5  10.8   3   3       0.4        50    0.9   0.2   182   223  1318  1359  1310  1395 0.70 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7185at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:31 2026
# [ok]
