#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091715.1-p1      -            561 7185at5820           -            435  1.4e-235  780.2  57.5   1   2    8e-128  8.2e-126  418.5  21.7     1   224     1   235     1   255 0.92 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 7185at5820           -            435     1e-05   22.7   2.4   1   2     1e-07     1e-05   22.7   2.4    66   182  2980  3110  2969  3121 0.69 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 7185at5820           -            435     1e-05   22.7   2.4   2   2       3.2   3.2e+02   -2.0   0.0   260   282  3153  3175  3147  3223 0.74 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 7185at5820           -            435   2.3e-05   21.6   0.7   1   2    0.0027      0.28    8.1   0.7   130   165   384   419   375   434 0.84 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 7185at5820           -            435   2.3e-05   21.6   0.7   2   2   0.00027     0.027   11.4   0.0   222   321   455   562   419   567 0.61 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 7185at5820           -            435   5.6e-05   20.3  11.1   1   3       0.9        92   -0.2   0.1    74   121    72   121    52   131 0.71 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 7185at5820           -            435   5.6e-05   20.3  11.1   2   3   9.8e-05      0.01   12.9   0.5   129   168   233   274   221   302 0.82 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 7185at5820           -            435   5.6e-05   20.3  11.1   3   3    0.0059       0.6    7.0   1.3   231   279   585   634   557   727 0.53 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 7185at5820           -            435   0.00011   19.3   0.2   1   1   1.7e-06   0.00017   18.7   0.2    54   166   193   306   174   319 0.80 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 7185at5820           -            435   0.00017   18.7   0.0   1   2      0.23        23    1.8   0.0   167   211   363   406   359   433 0.87 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 7185at5820           -            435   0.00017   18.7   0.0   2   2   3.6e-05    0.0037   14.3   0.0   116   178   517   579   513   601 0.85 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 7185at5820           -            435      0.02   11.9   0.0   1   1   0.00045     0.046   10.7   0.0   134   176   910   953   901   959 0.84 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 7185at5820           -            435      0.88    6.5  10.8   1   3   0.00057     0.058   10.4   0.0   128   178   153   203   147   207 0.92 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 7185at5820           -            435      0.88    6.5  10.8   2   3      0.63        65    0.3   0.0   257   280   307   330   271   333 0.67 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 7185at5820           -            435      0.88    6.5  10.8   3   3      0.42        43    0.9   0.2   182   223  1318  1359  1310  1395 0.70 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7185at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7185at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:31 2026
# [ok]
