#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122970.1-p1      -            517 7216at5820           -            365  1.7e-204  677.0  25.3   1   2   4.6e-34   4.7e-32  109.7   4.9     1    88     1   103     1   111 0.86 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 7216at5820           -            365     1e-07   29.6  16.9   2   5       7.1   7.3e+02   -2.8   1.3   193   240   738   783   733   789 0.72 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 7216at5820           -            365     1e-07   29.6  16.9   3   5   4.7e-06   0.00048   17.5   0.1   144   202  1142  1200  1130  1210 0.85 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 7216at5820           -            365     1e-07   29.6  16.9   4   5   2.5e-06   0.00026   18.4   0.3   241   328  1211  1297  1201  1328 0.80 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 7216at5820           -            365     1e-07   29.6  16.9   5   5     0.081       8.2    3.6   0.0   316   361  1325  1371  1309  1375 0.81 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 7216at5820           -            365   2.7e-07   28.2   3.2   1   3   3.7e-05    0.0038   14.6   0.1   141   200   152   214    80   240 0.73 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 7216at5820           -            365   2.7e-07   28.2   3.2   2   3    0.0017      0.17    9.1   0.1   243   310   698   761   688   787 0.80 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 7216at5820           -            365   2.7e-07   28.2   3.2   3   3     0.095       9.7    3.4   0.0   323   360   822   863   807   868 0.76 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 7216at5820           -            365   9.3e-07   26.4   3.0   1   1   4.5e-08   4.6e-06   24.2   3.0   170   358   389   574   380   576 0.76 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 7216at5820           -            365     3e-06   24.8   0.5   1   1   5.7e-08   5.9e-06   23.8   0.5   143   298  3081  3238  3073  3244 0.75 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 7216at5820           -            365   5.6e-06   23.9  10.0   1   2   5.5e-08   5.6e-06   23.9  10.0    76   212   739   878   717   892 0.81 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087765.1-p1      -           1251 7216at5820           -            365   5.6e-06   23.9  10.0   2   2       4.9   5.1e+02   -2.3   0.1   269   307  1097  1134  1051  1157 0.79 | transcript=PVX_087765.1 | gene=PVX_087765 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr01:131139-134894(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 7216at5820           -            365   6.7e-06   23.6   0.0   1   2    0.0036      0.36    8.0   0.0   159   199   900   940   895   952 0.88 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 7216at5820           -            365   6.7e-06   23.6   0.0   2   2   0.00011     0.011   13.1   0.0   262   325  1053  1119  1043  1124 0.79 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 7216at5820           -            365   1.2e-05   22.8   7.0   1   2     3e-05    0.0031   14.9   1.8   112   203    66   172    56   187 0.67 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 7216at5820           -            365   1.2e-05   22.8   7.0   2   2   0.00048      0.05   10.9   0.1   245   309   177   239   169   253 0.73 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 7216at5820           -            365   0.00042   17.7   0.8   1   2     0.052       5.3    4.2   0.1   170   201   179   210   149   215 0.81 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 7216at5820           -            365   0.00042   17.7   0.8   2   2   0.00031     0.031   11.6   0.0   245   361   214   342   208   346 0.74 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 7216at5820           -            365    0.0052   14.1   0.1   1   2   0.00021     0.022   12.1   0.0   164   200   101   137    73   148 0.79 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 7216at5820           -            365    0.0052   14.1   0.1   2   2       1.2   1.2e+02   -0.3   0.0   244   309   144   215   138   239 0.59 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7216at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:42 2026
# [ok]
