#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089025.1-p1      -            322 7934at5820           -            173  4.7e-121  399.3  12.4   1   2  1.4e-117  1.7e-115  381.2   8.0     1   173    26   205    26   205 0.98 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 7934at5820           -            173   0.00071   17.8   0.4   1   2   3.1e-05    0.0037   15.5   0.1    78   157    61   150    38   156 0.74 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 7934at5820           -            173   0.00071   17.8   0.4   2   2       3.9   4.6e+02   -1.1   0.0    24    75   238   289   222   315 0.62 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 7934at5820           -            173    0.0017   16.5   5.0   1   3      0.12        14    3.8   0.1    86   157    68   139    52   156 0.73 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 7934at5820           -            173    0.0017   16.5   5.0   2   3       1.1   1.3e+02    0.6   0.1   131   157   271   297   229   315 0.69 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 7934at5820           -            173    0.0017   16.5   5.0   3   3   0.00033      0.04   12.1   0.1    58   113   434   488   388   502 0.87 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099515.1-p1      -            846 7934at5820           -            173    0.0018   16.5   2.3   1   2       1.4   1.7e+02    0.3   0.0   119   143   645   669   589   679 0.67 | transcript=PVX_099515.1 | gene=PVX_099515 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr07:828939-832532(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099515.1-p1      -            846 7934at5820           -            173    0.0018   16.5   2.3   2   2   6.7e-05    0.0081   14.3   0.3    75   162   685   774   665   781 0.73 | transcript=PVX_099515.1 | gene=PVX_099515 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr07:828939-832532(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 7934at5820           -            173    0.0027   15.9   0.0   1   1   5.9e-05    0.0071   14.5   0.0    82   123  2836  2877  2792  2892 0.69 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094405.1-p1      -           2726 7934at5820           -            173    0.0028   15.8   0.1   1   2       0.5        60    1.7   0.0    58   107   236   285   221   302 0.81 | transcript=PVX_094405.1 | gene=PVX_094405 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:217652-226024(-) | protein_length=2726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094405.1-p1      -           2726 7934at5820           -            173    0.0028   15.8   0.1   2   2    0.0014      0.17   10.1   0.0    57   114  2608  2666  2603  2676 0.90 | transcript=PVX_094405.1 | gene=PVX_094405 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:217652-226024(-) | protein_length=2726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 7934at5820           -            173     0.012   13.8   0.1   1   1   0.00019     0.022   12.9   0.1    57   113   207   265   182   301 0.81 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 7934at5820           -            173     0.016   13.4   1.1   1   1   0.00047     0.056   11.6   0.2    37    96  1711  1769  1695  1789 0.64 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7934at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7934at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7934at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:20 2026
# [ok]
