#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473290.1         -            563 4925at5820           -            472  1.1e-292  969.2  37.4   1   2     1e-18   9.5e-17   59.4   2.7     1    47    32    79    32    87 0.89 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 4925at5820           -            472     1e-05   23.0   0.1   1   2       4.8   4.4e+02   -2.2   0.0    60   122   404   472   394   480 0.56 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 4925at5820           -            472     1e-05   23.0   0.1   2   2   3.5e-07   3.3e-05   21.3   0.0   153   259   531   649   492   655 0.77 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 4925at5820           -            472   2.5e-05   21.7   8.1   1   2   2.2e-05     0.002   15.4   2.7   413   471    21    80     8    81 0.88 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 4925at5820           -            472   2.5e-05   21.7   8.1   2   2    0.0012      0.11    9.7   0.3   414   470    95   152    85   154 0.86 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475147.1         -            792 4925at5820           -            472   0.00043   17.6   0.0   1   1     1e-05   0.00095   16.5   0.0    66   181    33   142    24   158 0.68 | transcript=PVW1_100054500_t1 | gene=PVW1_100054500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2222387-2224765(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4925at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:40 2026
# [ok]
