#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472118.1         -            517 7216at5820           -            365  1.8e-204  677.0  25.3   1   2   4.6e-34   5.1e-32  109.7   4.9     1    88     1   103     1   111 0.86 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 7216at5820           -            365   3.9e-08   31.1   4.1   2   2     0.014       1.5    6.1   0.0   269   352  1537  1629  1520  1636 0.65 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 7216at5820           -            365   4.6e-08   30.9   6.9   1   3   6.9e-09   7.7e-07   26.8   1.0   112   203    80   172    72   184 0.78 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 7216at5820           -            365   4.6e-08   30.9   6.9   2   3      0.42        47    1.2   0.1   266   308   194   237   171   249 0.69 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 7216at5820           -            365   4.6e-08   30.9   6.9   3   3     0.027         3    5.2   0.0   329   359   299   329   270   332 0.84 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 7216at5820           -            365   5.1e-08   30.7   0.2   1   3       0.1        12    3.2   0.0   171   199   535   563   525   570 0.88 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 7216at5820           -            365   5.1e-08   30.7   0.2   2   3   6.4e-06   0.00071   17.1   0.0   244   340   570   675   566   688 0.79 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 7216at5820           -            365   5.1e-08   30.7   0.2   3   3      0.01       1.1    6.6   0.0   329   358   865   894   841   896 0.90 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7216at5820           -            365   7.5e-08   30.2   3.5   1   3   3.6e-08     4e-06   24.5   0.1   122   203   139   227    82   243 0.79 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7216at5820           -            365   7.5e-08   30.2   3.5   2   3     0.024       2.7    5.3   0.0   334   360   554   580   528   585 0.89 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 7216at5820           -            365   7.5e-08   30.2   3.5   3   3       2.8   3.2e+02   -1.5   0.2   180   216   601   637   595   699 0.77 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7216at5820           -            365   1.2e-07   29.5   5.5   1   4       1.8     2e+02   -0.9   0.3   114   133   696   715   668   718 0.76 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7216at5820           -            365   1.2e-07   29.5   5.5   2   4   1.5e-05    0.0016   15.9   0.6   163   199   909   945   901   948 0.89 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7216at5820           -            365   1.2e-07   29.5   5.5   3   4       0.2        23    2.3   0.0   243   302   949  1009   946  1020 0.67 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 7216at5820           -            365   1.2e-07   29.5   5.5   4   4   0.00066     0.074   10.5   0.0   333   359  1087  1113  1076  1117 0.91 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7216at5820           -            365   2.3e-07   28.6   2.8   1   3   3.7e-05    0.0042   14.6   0.1   141   200   152   214    80   240 0.73 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7216at5820           -            365   2.3e-07   28.6   2.8   2   3    0.0017      0.19    9.1   0.1   243   310   698   761   689   787 0.80 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479357.1         -           1399 7216at5820           -            365   2.3e-07   28.6   2.8   3   3     0.095        11    3.3   0.0   323   360   822   863   807   868 0.76 | transcript=PVW1_080043400_t1 | gene=PVW1_080043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1649599-1653798(-) | protein_length=1399 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7216at5820           -            365   1.4e-06   26.0   2.8   1   5       3.6     4e+02   -1.8   0.3    64   117   195   248   188   270 0.79 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7216at5820           -            365   1.4e-06   26.0   2.8   2   5       7.1     8e+02   -2.8   1.3   193   240   738   783   733   789 0.72 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7216at5820           -            365   1.4e-06   26.0   2.8   3   5   4.7e-06   0.00053   17.5   0.1   144   202  1142  1200  1130  1210 0.85 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7216at5820           -            365   1.4e-06   26.0   2.8   4   5   2.5e-06   0.00028   18.4   0.3   241   328  1211  1297  1201  1328 0.80 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 7216at5820           -            365   1.4e-06   26.0   2.8   5   5     0.081       9.1    3.6   0.0   316   361  1325  1371  1309  1375 0.81 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 7216at5820           -            365   4.6e-06   24.3   0.4   1   1   8.2e-08   9.2e-06   23.3   0.4   143   298  3081  3238  3073  3244 0.76 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 7216at5820           -            365   6.1e-06   23.9  10.0   1   2   5.5e-08   6.1e-06   23.9  10.0    76   212   739   878   717   892 0.81 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 7216at5820           -            365   6.1e-06   23.9  10.0   2   2       4.9   5.5e+02   -2.3   0.1   269   307  1097  1134  1051  1157 0.79 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 7216at5820           -            365   7.3e-06   23.6   0.0   1   2    0.0035       0.4    8.0   0.0   159   199   897   937   892   949 0.88 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 7216at5820           -            365   7.3e-06   23.6   0.0   2   2   0.00011     0.012   13.1   0.0   262   325  1050  1116  1040  1121 0.79 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 7216at5820           -            365   1.3e-05   22.8   7.0   1   2     3e-05    0.0034   14.9   1.8   112   203    66   172    56   187 0.67 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 7216at5820           -            365   1.3e-05   22.8   7.0   2   2   0.00048     0.055   10.9   0.1   245   309   177   239   169   253 0.73 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479037.1         -            327 7216at5820           -            365   0.00038   18.0   2.1   1   2         1   1.1e+02   -0.0   0.2   128   199    80   153     9   178 0.65 | transcript=PVW1_080024100_t1 | gene=PVW1_080024100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | location=CAJZCX010000009:876179-877497(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479037.1         -            327 7216at5820           -            365   0.00038   18.0   2.1   2   2   4.6e-06   0.00052   17.5   0.2   275   360   189   282   166   284 0.74 | transcript=PVW1_080024100_t1 | gene=PVW1_080024100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWH9] | location=CAJZCX010000009:876179-877497(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 7216at5820           -            365   0.00043   17.8   0.8   1   2      0.05       5.7    4.3   0.1   170   201   179   210   149   215 0.81 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 7216at5820           -            365   0.00043   17.8   0.8   2   2    0.0003     0.034   11.6   0.0   245   361   214   342   208   346 0.74 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 7216at5820           -            365    0.0057   14.1   0.1   1   2   0.00021     0.024   12.1   0.0   164   200   101   137    73   148 0.79 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 7216at5820           -            365    0.0057   14.1   0.1   2   2       1.2   1.3e+02   -0.3   0.0   244   309   144   215   138   239 0.59 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7216at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:42 2026
# [ok]
